UPC,SourcePlanogram,Planogram
60788003282,27832,27832.0
60788003283,27832,27832.0
60788003284,27832,27832.0
60788003286,27832,27832.0
60788003287,27832,27832.0
60788003288,27832,27832.0
60788003360,27832,27832.0
60788003361,27832,27832.0
60788003362,27832,27832.0
60788003363,27832,27832.0
60788003364,27832,27832.0
60788003365,27832,27832.0
60788012093,27845,27845.0
60788012095,27845,27845.0
63976773458,27832,27832.0
63976773463,27832,27832.0
63976773466,27832,27832.0
63976773469,27832,27832.0
64964520091,27836,27836.0
72253859000,27832,27832.0
72253859503,27832,27832.0
72253859507,27832,27832.0
75211606009,27832,27832.0
75211606011,27832,27832.0
76211100109,27832,27832.0
76211100139,27832,27832.0
76211120605,27832,27832.0
76211120611,27832,27832.0
76211120613,27832,27832.0
76211120625,27832,27832.0
76211162287,27832,27832.0
76211162290,27832,27832.0
76211162291,27832,27832.0
76211176611,27832,27832.0
76211179575,27832,27832.0
76211188810,27832,27832.0
76211188811,27832,27832.0
76211188812,27832,27832.0
76211188813,27832,27832.0
76211188818,27832,27832.0
76211188997,27832,27832.0
76211189531,27832,27832.0
76211193025,27832,27832.0
76211194958,27832,27832.0
76211194960,27832,27832.0
76211196679,27832,27832.0
76211198639,27832,27832.0
76604700407,27832,27832.0
76604700409,27832,27832.0
76604700433,27832,27832.0
76604700434,27832,27832.0
76604700435,27832,27832.0
76604700436,27832,27832.0
78260516106,27832,27832.0
78260516107,27832,27832.0
78260516110,27832,27832.0
78260516150,27832,27832.0
78260516152,27832,27832.0
78778020000,27832,27832.0
78778020018,27832,27832.0
78778077010,27832,27832.0
78778077014,27832,27832.0
78778077016,27832,27832.0
78778077018,27832,27832.0
78778077024,27832,27832.0
78778077039,27832,27832.0
78778077042,27832,27832.0
78778077054,27832,27832.0
78778077056,27832,27832.0
81468101196,27832,27832.0
81468101227,27832,27832.0
81468101228,27832,27832.0
81468101230,27832,27832.0
81693200850,27832,27832.0
81693200853,27832,27832.0
81693200856,27832,27832.0
81693200859,27832,27832.0
81693290041,27832,27832.0
81693290042,27832,27832.0
81693290043,27832,27832.0
88133400046,27832,27832.0
88133400047,27832,27832.0
88133400048,27832,27832.0
88133400049,27832,27832.0
88133400051,27832,27832.0
88133400070,27832,27832.0
88133400136,27832,27832.0
88133400212,27832,27832.0
88133400298,27832,27832.0
88133400299,27832,27832.0
88133400300,27832,27832.0
88133400301,27832,27832.0
